,id,title,href,price_50_average
226,FALIX,Fidelity Advisor Large Cap Fund Class I,/quote/FALIX?p=FALIX,25.19
227,QUAYX,AB Small Cap Growth Portfolio Advisor Class,/quote/QUAYX?p=QUAYX,49.16
228,SCURX,Hartford Schroders US Small Cap Opportunities Fund Class SDR,/quote/SCURX?p=SCURX,19.42
229,MECIX,AMG Managers Cadence Emerging Companies Fund - Class I,/quote/MECIX?p=MECIX,39.39
230,GASFX,Hennessy Gas Utility Fund Investor Class,/quote/GASFX?p=GASFX,23.70
231,DSCVX,BNY Mellon Opportunistic Small Cap Fund Investor Shares,/quote/DSCVX?p=DSCVX,19.66
232,HOOSX,Hartford Schroders US Small Cap Opportunities Fund Class R4,/quote/HOOSX?p=HOOSX,19.33
233,PRNHX,T. Rowe Price New Horizons Fund,/quote/PRNHX?p=PRNHX,53.33
234,LSSNX,Loomis Sayles Small Cap Growth Fund Class N,/quote/LSSNX?p=LSSNX,20.99
235,PRJIX,T. Rowe Price New Horizons Fund I Class,/quote/PRJIX?p=PRJIX,53.48
236,DOPIX,BNY Mellon Opportunistic Small Cap Fund Class I,/quote/DOPIX?p=DOPIX,19.78
237,TRPIX,T. Rowe Price Value Fund I Class,/quote/TRPIX?p=TRPIX,29.23
238,TRVLX,T. Rowe Price Value Fund,/quote/TRVLX?p=TRVLX,29.23
239,TAREX,Third Avenue Real Estate Value Fund Institutional Class,/quote/TAREX?p=TAREX,19.20
240,DSCYX,BNY Mellon Opportunistic Small Cap Fund Class Y,/quote/DSCYX?p=DSCYX,19.81
241,HMDCX,The Hartford MidCap Fund Class C,/quote/HMDCX?p=HMDCX,16.01
242,HDGCX,The Hartford Dividend and Growth Fund Class C,/quote/HDGCX?p=HDGCX,20.32
243,HFMVX,The Hartford MidCap Fund Class R6,/quote/HFMVX?p=HFMVX,29.78
244,IUESX,JPMorgan International Unconstrained Equity Fund Class I,/quote/IUESX?p=IUESX,18.26
245,ARYCX,American Century Real Estate Fund C Class,/quote/ARYCX?p=ARYCX,23.08
246,FLCSX,Fidelity Large Cap Stock Fund,/quote/FLCSX?p=FLCSX,25.84
247,PAREX,T. Rowe Price Real Estate Fund Advisor Class,/quote/PAREX?p=PAREX,20.21
248,NCTWX,Nicholas II Fund Class I,/quote/NCTWX?p=NCTWX,22.57
249,NNTWX,Nicholas II Fund Class N,/quote/NNTWX?p=NNTWX,22.02
250,PAVLX,T. Rowe Price Value Fund Advisor Class,/quote/PAVLX?p=PAVLX,28.76
251,HFMIX,The Hartford MidCap Fund Class I,/quote/HFMIX?p=HFMIX,24.93
252,HFMSX,The Hartford MidCap Fund Class R4,/quote/HFMSX?p=HFMSX,28.35
253,CNPIX,ProFunds Consumer Goods Ultra Sector Fund Investor Class,/quote/CNPIX?p=CNPIX,88.27
254,CNPSX,ProFunds Consumer Goods Ultra Sector Fund Service Class,/quote/CNPSX?p=CNPSX,79.54
255,RYBAX,Rydex Basic Materials Fund Class H,/quote/RYBAX?p=RYBAX,39.86
256,DODFX,Dodge & Cox International Stock Fund,/quote/DODFX?p=DODFX,31.14
257,BPTIX,Baron Partners Fund Institutional Shares,/quote/BPTIX?p=BPTIX,60.20
258,BPTUX,Baron Partners Fund R6 Shares,/quote/BPTUX?p=BPTUX,60.20
259,BPTRX,Baron Partners Fund Retail Shares,/quote/BPTRX?p=BPTRX,58.66
260,NWSAX,Nationwide Small Company Growth Fund Class A,/quote/NWSAX?p=NWSAX,16.17
261,RYBCX,Rydex Basic Materials Fund Class C,/quote/RYBCX?p=RYBCX,35.69
262,SEEKX,Crossmark Steward Large Cap Enhanced Index Fund Class A,/quote/SEEKX?p=SEEKX,36.16
263,RYBIX,Rydex Basic Materials Fund Class Investor,/quote/RYBIX?p=RYBIX,44.28
264,RYBMX,Rydex Basic Materials Fund Class A,/quote/RYBMX?p=RYBMX,41.17
265,THORX,Thornburg Global Opportunities Fund Class R3,/quote/THORX?p=THORX,24.12
266,TESIX,Franklin Mutual Shares Fund Class A,/quote/TESIX?p=TESIX,20.20
267,VMGIX,Vanguard Mid-Cap Growth Index Fund Investor Shares,/quote/VMGIX?p=VMGIX,51.73
268,SEUPX,Guggenheim StylePlus - Mid Growth Fund Class P,/quote/SEUPX?p=SEUPX,33.00
